# ANI ranges report for assembly: GCA_000771685.1
# Submitted organism: Bifidobacterium reuteri DSM 23975 (taxid = 1437610, rank = no rank, lineage = Bacteria; Bacillati; Actinomycetota; Actinomycetes; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium)
# Submitted Organism Has Type Assembly: Yes
# Best match: Bifidobacterium reuteri (taxid = 983706, rank = species, lineage = Bacteria; Bacillati; Actinomycetota; Actinomycetes; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium)
# Status: CONFIRMED
# Confidence: HIGH
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
-	JDUW01000003.1	CONTIG	1	57792	234326	JGZK01000005.1	388	58172	GCA_000741695.1	Bifidobacterium reuteri	99.9851	96	24.6631
-	JDUW01000003.1	CONTIG	57793	234326	234326	JGZK01000005.1	96719	273236	GCA_000741695.1	Bifidobacterium reuteri	99.9851	96	75.3369
-	JDUW01000004.1	CONTIG	1	206748	206748	JGZK01000004.1	995	207734	GCA_000741695.1	Bifidobacterium reuteri	99.9942	96	100
-	JDUW01000005.1	CONTIG	1	112006	112006	JGZK01000001.1	281025	393031	GCA_000741695.1	Bifidobacterium reuteri	99.9946	96	100
-	JDUW01000006.1	CONTIG	1	37201	37201	JGZK01000001.1	243805	281004	GCA_000741695.1	Bifidobacterium reuteri	99.9919	96	100
-	JDUW01000007.1	CONTIG	1	2373	141199	JGZK01000024.1	1	2374	GCA_000741695.1	Bifidobacterium reuteri	99.9579	96	1.68061
-	JDUW01000007.1	CONTIG	2389	32273	141199	JGZK01000020.1	1	29885	GCA_000741695.1	Bifidobacterium reuteri	99.9928	96	21.1652
-	JDUW01000007.1	CONTIG	32274	59911	141199	JGZK01000010.1	7330	34964	GCA_000741695.1	Bifidobacterium reuteri	99.9928	96	19.5738
-	JDUW01000007.1	CONTIG	59912	141199	141199	JGZK01000010.1	35064	116347	GCA_000741695.1	Bifidobacterium reuteri	99.9928	96	57.5698
-	JDUW01000008.1	CONTIG	1	134067	134067	JGZK01000001.1	107570	241629	GCA_000741695.1	Bifidobacterium reuteri	99.9873	96	100
-	JDUW01000009.1	CONTIG	1	7170	45398	JGZK01000010.1	161	7329	GCA_000741695.1	Bifidobacterium reuteri	99.9582	96	15.7936
-	JDUW01000009.1	CONTIG	7294	45396	45398	JGZK01000001.1	237	38339	GCA_000741695.1	Bifidobacterium reuteri	99.9974	96	83.931
-	JDUW01000010.1	CONTIG	1	210	76390	JGZK01000001.1	1	210	GCA_000741695.1	Bifidobacterium reuteri	100	96	0.274905
-	JDUW01000010.1	CONTIG	364	7484	76390	JGZK01000002.1	242490	249610	GCA_000741695.1	Bifidobacterium reuteri	99.986	96	9.3219
-	JDUW01000010.1	CONTIG	7632	74249	76390	JGZK01000002.1	249611	316226	GCA_000741695.1	Bifidobacterium reuteri	99.9942	96	87.2077
-	JDUW01000010.1	CONTIG	74250	76390	76390	JGZK01000002.1	316326	318466	GCA_000741695.1	Bifidobacterium reuteri	99.9942	96	2.80272
-	JDUW01000011.1	CONTIG	1	7093	113464	JGZK01000002.1	235397	242489	GCA_000741695.1	Bifidobacterium reuteri	99.9851	96	6.25132
-	JDUW01000011.1	CONTIG	7094	73779	113464	JGZK01000008.1	1	66682	GCA_000741695.1	Bifidobacterium reuteri	99.9851	96	58.7728
-	JDUW01000011.1	CONTIG	73781	85878	113464	JGZK01000013.1	1	12098	GCA_000741695.1	Bifidobacterium reuteri	100	96	10.6624
-	JDUW01000011.1	CONTIG	85979	113464	113464	JGZK01000013.1	12099	39583	GCA_000741695.1	Bifidobacterium reuteri	99.9964	96	24.2244
-	JDUW01000012.1	CONTIG	1	36211	36211	JGZK01000017.1	143114	179324	GCA_000741695.1	Bifidobacterium reuteri	100	96	100
-	JDUW01000013.1	CONTIG	1	73030	73030	JGZK01000017.1	179354	252384	GCA_000741695.1	Bifidobacterium reuteri	99.9973	96	100
-	JDUW01000014.1	CONTIG	1	29481	109192	JGZK01000019.1	7590	37069	GCA_000741695.1	Bifidobacterium reuteri	99.983	96	26.9992
-	JDUW01000014.1	CONTIG	29729	37317	109192	JGZK01000019.1	1	7589	GCA_000741695.1	Bifidobacterium reuteri	99.9182	96	6.95014
-	JDUW01000014.1	CONTIG	37318	39986	109192	JGZK01000012.1	101	2769	GCA_000741695.1	Bifidobacterium reuteri	99.9182	96	2.44432
-	JDUW01000014.1	CONTIG	39987	109192	109192	JGZK01000001.1	38340	107542	GCA_000741695.1	Bifidobacterium reuteri	99.9182	96	63.3801
-	JDUW01000015.1	CONTIG	1	56484	103315	JGZK01000017.1	46761	103242	GCA_000741695.1	Bifidobacterium reuteri	99.9894	96	54.6716
-	JDUW01000015.1	CONTIG	56733	103315	103315	JGZK01000017.1	179	46760	GCA_000741695.1	Bifidobacterium reuteri	99.9979	96	45.0883
-	JDUW01000016.1	CONTIG	1	416	73369	JGZK01000002.1	265	680	GCA_000741695.1	Bifidobacterium reuteri	99.9931	96	0.566997
-	JDUW01000016.1	CONTIG	417	29172	73369	JGZK01000002.1	744	29498	GCA_000741695.1	Bifidobacterium reuteri	99.9931	96	39.1937
-	JDUW01000016.1	CONTIG	29381	73369	73369	JGZK01000002.1	29499	73487	GCA_000741695.1	Bifidobacterium reuteri	100	96	59.9558
-	JDUW01000017.1	CONTIG	1	22781	22781	JGZK01000002.1	73503	96277	GCA_000741695.1	Bifidobacterium reuteri	99.9737	96	100
-	JDUW01000018.1	CONTIG	1	31981	93772	JGZK01000003.1	377718	409695	GCA_000741695.1	Bifidobacterium reuteri	99.9906	96	34.1051
-	JDUW01000018.1	CONTIG	32258	93772	93772	JGZK01000003.1	316203	377717	GCA_000741695.1	Bifidobacterium reuteri	99.9967	96	65.6006
-	JDUW01000019.1	CONTIG	1	74553	74553	JGZK01000002.1	112562	187108	GCA_000741695.1	Bifidobacterium reuteri	99.9839	96	100
-	JDUW01000020.1	CONTIG	1	2322	71461	JGZK01000005.1	337715	340036	GCA_000741695.1	Bifidobacterium reuteri	99.9281	96	3.24932
-	JDUW01000020.1	CONTIG	2323	34327	71461	JGZK01000026.1	1	32022	GCA_000741695.1	Bifidobacterium reuteri	99.9281	96	44.7867
-	JDUW01000020.1	CONTIG	34328	35776	71461	JGZK01000028.1	27	1475	GCA_000741695.1	Bifidobacterium reuteri	99.9281	96	2.02768
-	JDUW01000020.1	CONTIG	35777	40284	71461	JGZK01000027.1	1	4507	GCA_000741695.1	Bifidobacterium reuteri	99.9281	96	6.30834
-	JDUW01000020.1	CONTIG	40330	71461	71461	JGZK01000023.1	1	31129	GCA_000741695.1	Bifidobacterium reuteri	99.9904	96	43.565
-	JDUW01000021.1	CONTIG	1	63074	63074	JGZK01000005.1	273373	336445	GCA_000741695.1	Bifidobacterium reuteri	99.9984	96	100
-	JDUW01000022.1	CONTIG	1	16935	50675	JGZK01000021.1	33843	50777	GCA_000741695.1	Bifidobacterium reuteri	100	96	33.4188
-	JDUW01000022.1	CONTIG	17152	23429	50675	JGZK01000021.1	27565	33842	GCA_000741695.1	Bifidobacterium reuteri	99.994	96	12.3888
-	JDUW01000022.1	CONTIG	23430	50675	50675	JGZK01000021.1	222	27465	GCA_000741695.1	Bifidobacterium reuteri	99.994	96	53.7662
-	JDUW01000023.1	CONTIG	1	46891	46891	JGZK01000013.1	76140	123027	GCA_000741695.1	Bifidobacterium reuteri	99.9893	96	100
-	JDUW01000024.1	CONTIG	1	18040	18040	JGZK01000009.1	20605	38643	GCA_000741695.1	Bifidobacterium reuteri	99.9945	96	100
-	JDUW01000025.1	CONTIG	1	20406	20406	JGZK01000009.1	197	20602	GCA_000741695.1	Bifidobacterium reuteri	99.9804	96	100
-	JDUW01000026.1	CONTIG	1	33979	33979	JGZK01000017.1	104237	138233	GCA_000741695.1	Bifidobacterium reuteri	99.9471	96	100
-	JDUW01000027.1	CONTIG	1	224	224	JGZK01000013.1	70493	70716	GCA_000741695.1	Bifidobacterium reuteri	99.1111	96	100
-	JDUW01000028.1	CONTIG	1	28305	28305	JGZK01000013.1	42137	70440	GCA_000741695.1	Bifidobacterium reuteri	99.9965	96	100
-	JDUW01000029.1	CONTIG	1	28079	28079	JGZK01000002.1	187343	215420	GCA_000741695.1	Bifidobacterium reuteri	99.9964	96	100
-	JDUW01000030.1	CONTIG	1	27455	27455	JGZK01000005.1	58232	85686	GCA_000741695.1	Bifidobacterium reuteri	100	96	100
-	JDUW01000031.1	CONTIG	1	21370	21370	JGZK01000014.1	201	21567	GCA_000741695.1	Bifidobacterium reuteri	99.986	96	100
-	JDUW01000032.1	CONTIG	1	20067	20067	JGZK01000016.1	201	20266	GCA_000741695.1	Bifidobacterium reuteri	99.9851	96	100
-	JDUW01000033.1	CONTIG	1	17738	17738	JGZK01000002.1	215994	233732	GCA_000741695.1	Bifidobacterium reuteri	99.9944	96	100
-	JDUW01000034.1	CONTIG	1	15681	15681	JGZK01000002.1	96523	112203	GCA_000741695.1	Bifidobacterium reuteri	100	96	100
-	JDUW01000035.1	CONTIG	1	3791	13892	JGZK01000018.1	48	3838	GCA_000741695.1	Bifidobacterium reuteri	99.9496	96	27.2891
-	JDUW01000035.1	CONTIG	3792	13892	13892	JGZK01000015.1	1	10096	GCA_000741695.1	Bifidobacterium reuteri	99.9496	96	72.7109
-	JDUW01000036.1	CONTIG	1	12382	12382	JGZK01000007.1	367	12748	GCA_000741695.1	Bifidobacterium reuteri	99.9677	96	100
-	JDUW01000037.1	CONTIG	32	11064	11084	JGZK01000005.1	85687	96718	GCA_000741695.1	Bifidobacterium reuteri	99.9909	96	99.5399
-	JDUW01000038.1	CONTIG	1	2619	2619	JGZK01000011.1	6149	8767	GCA_000741695.1	Bifidobacterium reuteri	100	96	100
-	JDUW01000039.1	CONTIG	1	5896	5896	JGZK01000011.1	210	6103	GCA_000741695.1	Bifidobacterium reuteri	99.9661	96	100
-	JDUW01000040.1	CONTIG	1	7587	7587	JGZK01000002.1	321971	329557	GCA_000741695.1	Bifidobacterium reuteri	100	96	100
-	JDUW01000041.1	CONTIG	1	3272	3272	JGZK01000002.1	318583	321854	GCA_000741695.1	Bifidobacterium reuteri	100	96	100
-	JDUW01000042.1	CONTIG	31	2584	2612	JGZK01000013.1	39584	42136	GCA_000741695.1	Bifidobacterium reuteri	99.9608	96	97.7795
-	JDUW01000043.1	CONTIG	1	2282	2282	JGZK01000013.1	70879	73161	GCA_000741695.1	Bifidobacterium reuteri	99.7372	96	100
-	JDUW01000044.1	CONTIG	1	2232	2232	JGZK01000017.1	139479	141710	GCA_000741695.1	Bifidobacterium reuteri	100	96	100
-	JDUW01000045.1	CONTIG	29	2189	2189	JGZK01000001.1	241630	243790	GCA_000741695.1	Bifidobacterium reuteri	100	96	98.7209
-	JDUW01000046.1	CONTIG	1	1650	1650	JGZK01000002.1	233738	235387	GCA_000741695.1	Bifidobacterium reuteri	100	96	100
-	JDUW01000047.1	CONTIG	1	1609	1609	JGZK01000013.1	124291	125898	GCA_000741695.1	Bifidobacterium reuteri	99.9378	96	100
-	JDUW01000048.1	CONTIG	32	228	1593	JGZK01000017.1	252385	252581	GCA_000741695.1	Bifidobacterium reuteri	100	96	12.3666
-	JDUW01000048.1	CONTIG	229	1562	1593	JGZK01000022.1	9919	11252	GCA_000741695.1	Bifidobacterium reuteri	100	96	83.7414
-	JDUW01000049.1	CONTIG	1	1430	1430	JGZK01000013.1	74397	75826	GCA_000741695.1	Bifidobacterium reuteri	100	96	100
-	JDUW01000050.1	CONTIG	32	1294	1325	JGZK01000013.1	123028	124290	GCA_000741695.1	Bifidobacterium reuteri	100	96	95.3208
-	JDUW01000051.1	CONTIG	1	1115	1115	JGZK01000025.1	371	1485	GCA_000741695.1	Bifidobacterium reuteri	100	96	100
-	JDUW01000052.1	CONTIG	3	798	798	JGZK01000013.1	73162	73957	GCA_000741695.1	Bifidobacterium reuteri	100	96	99.7494
-	JDUW01000053.1	CONTIG	1	742	771	JGZK01000004.1	253	994	GCA_000741695.1	Bifidobacterium reuteri	99.8652	96	96.2387
-	JDUW01000054.1	CONTIG	5	749	749	JGZK01000005.1	336970	337714	GCA_000741695.1	Bifidobacterium reuteri	100	96	99.466
-	JDUW01000055.1	CONTIG	1	472	472	JGZK01000017.1	142486	142957	GCA_000741695.1	Bifidobacterium reuteri	100	96	100
-	JDUW01000056.1	CONTIG	32	422	422	JGZK01000002.1	215421	215811	GCA_000741695.1	Bifidobacterium reuteri	99.7442	96	92.654
-	JDUW01000057.1	CONTIG	1	412	412	JGZK01000003.1	315615	316026	GCA_000741695.1	Bifidobacterium reuteri	100	96	100
-	JDUW01000058.1	CONTIG	1	395	395	JGZK01000003.1	315167	315561	GCA_000741695.1	Bifidobacterium reuteri	100	96	100
-	JDUW01000059.1	CONTIG	22	370	370	JGZK01000017.1	103243	103591	GCA_000741695.1	Bifidobacterium reuteri	100	96	94.3243
-	JDUW01000060.1	CONTIG	31	323	323	JGZK01000004.1	207735	208028	GCA_000741695.1	Bifidobacterium reuteri	99.6599	96	90.7121
