# ANI ranges report for assembly: GCA_001709315.1
# Submitted organism: Pantoea agglomerans (taxid = 549, rank = species, lineage = Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Erwiniaceae; Pantoea; Pantoea agglomerans group)
# Submitted Organism Has Type Assembly: Yes
# Best match: Pantoea agglomerans (taxid = 549, rank = species, lineage = Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Erwiniaceae; Pantoea; Pantoea agglomerans group)
# Status: CONFIRMED
# Confidence: HIGH
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
S	CP016889.1	CIRCULAR	917597	919346	4182028	SBFD01000006.1	149363	151113	GCA_014156615.1	Pantoea pleuroti	94.3525	96	0.0418457
S	CP016889.1	CIRCULAR	919647	920633	4182028	SBFD01000006.1	148395	149362	GCA_014156615.1	Pantoea pleuroti	83.1313	96	0.023601
S	CP016889.1	CIRCULAR	920658	920821	4182028	SBFD01000006.1	147154	147317	GCA_014156615.1	Pantoea pleuroti	88.5542	96	0.00392154
-	CP016889.1	CIRCULAR	920822	947401	4182028	CP077366.1	1150889	1177472	GCA_019048385.1	Pantoea agglomerans	97.698	96	0.635577
-	CP016889.1	CIRCULAR	947406	947566	4182028	CP077366.1	1150725	1150885	GCA_019048385.1	Pantoea agglomerans	96.2733	96	0.00384981
-	CP016889.1	CIRCULAR	947570	959331	4182028	CP077366.1	1138960	1150721	GCA_019048385.1	Pantoea agglomerans	98.5122	96	0.281251
S	CP016889.1	CIRCULAR	959332	961052	4182028	SBFD01000006.1	106823	108543	GCA_014156615.1	Pantoea pleuroti	99.1284	96	0.0411523
-	CP016889.1	CIRCULAR	961053	961212	4182028	CP077366.1	3888828	3888987	GCA_019048385.1	Pantoea agglomerans	96.875	96	0.00382589
S	CP016889.1	CIRCULAR	961213	961611	4182028	SBFD01000006.1	106264	106662	GCA_014156615.1	Pantoea pleuroti	99.2481	96	0.00954083
S	CP016889.1	CIRCULAR	961659	961765	4182028	FOVG01000004.1	369442	369549	GCA_900115075.1	Candidatus Pantoea varia	93.5185	96	0.00255857
-	CP016889.1	CIRCULAR	961766	1031355	4182028	CP077366.1	1069398	1138959	GCA_019048385.1	Pantoea agglomerans	98.3204	96	1.66403
S	CP016889.1	CIRCULAR	1031356	1031483	4182028	SBFD01000006.1	36508	36635	GCA_014156615.1	Pantoea pleuroti	99.2188	96	0.00306072
-	CP016889.1	CIRCULAR	1031484	1031710	4182028	BCZA01000006.1	489573	489799	GCA_001598475.1	Pantoea agglomerans	96.0526	96	0.00542799
-	CP016889.1	CIRCULAR	1031736	1122182	4182028	CP077366.1	978955	1069386	GCA_019048385.1	Pantoea agglomerans	98.49	96	2.16275
S	CP016889.1	CIRCULAR	1122183	1122290	4182028	FOVG01000006.1	20271	20384	GCA_900115075.1	Candidatus Pantoea varia	75.4386	96	0.00258248
-	CP016889.1	CIRCULAR	1122292	1166736	4182028	CP077366.1	934122	978544	GCA_019048385.1	Pantoea agglomerans	98.1662	96	1.06276
-	CP016889.1	CIRCULAR	1166737	1195404	4182028	CP077366.1	905240	933904	GCA_019048385.1	Pantoea agglomerans	98.1662	96	0.685505
S	CP016889.1	CIRCULAR	1195405	1195512	4182028	RHDS01000008.1	143501	143624	GCA_003710245.1	[Curtobacterium] plantarum	79.0323	96	0.00258248
S	CP016889.1	CIRCULAR	1195513	1195657	4182028	FOVG01000006.1	93980	94125	GCA_900115075.1	Candidatus Pantoea varia	92.4658	96	0.00346722
S	CP016889.1	CIRCULAR	1195658	1196113	4182028	CP082292.1	353309	353764	GCA_019880205.1	Pantoea alfalfae	96.2719	96	0.0109038
S	CP016889.1	CIRCULAR	1196114	1196929	4182028	RHDS01000008.1	142685	143500	GCA_003710245.1	[Curtobacterium] plantarum	97.6716	96	0.0195121
-	CP016889.1	CIRCULAR	1196930	1201664	4182028	CP077366.1	900400	905134	GCA_019048385.1	Pantoea agglomerans	97.6802	96	0.113223
-	CP016889.1	CIRCULAR	1201665	1209353	4182028	CP077366.1	891471	899189	GCA_019048385.1	Pantoea agglomerans	97.6802	96	0.183858
-	CP016889.1	CIRCULAR	1209354	1218944	4182028	CP077366.1	881789	891379	GCA_019048385.1	Pantoea agglomerans	97.6802	96	0.229338
-	CP016889.1	CIRCULAR	1218945	1232460	4182028	CP077366.1	868204	881716	GCA_019048385.1	Pantoea agglomerans	97.6802	96	0.323192
S	CP016889.1	CIRCULAR	1232474	1232711	4182028	RHDS01000008.1	106657	106896	GCA_003710245.1	[Curtobacterium] plantarum	83.0579	96	0.00569102
-	CP016889.1	CIRCULAR	1232712	1261161	4182028	CP077366.1	839454	867899	GCA_019048385.1	Pantoea agglomerans	97.9512	96	0.680292
-	CP016889.1	CIRCULAR	1261165	1262591	4182028	CP077366.1	837772	839199	GCA_019048385.1	Pantoea agglomerans	97.8992	96	0.0341222
S	CP016889.1	CIRCULAR	1262592	1272996	4182028	SBFD01000008.1	160820	171223	GCA_014156615.1	Pantoea pleuroti	98.8083	96	0.248803
-	CP016889.1	CIRCULAR	1272997	1273126	4182028	CP077366.1	3075024	3075153	GCA_019048385.1	Pantoea agglomerans	97.6923	96	0.00310854
-	CP016889.1	CIRCULAR	1273180	1273384	4182028	UGSO01000001.1	2523454	2523658	GCA_900454405.1	Pantoea agglomerans	96.5854	96	0.00490193
-	CP016889.1	CIRCULAR	1273388	1326924	4182028	CP077366.1	772600	826132	GCA_019048385.1	Pantoea agglomerans	97.6178	96	1.28017
-	CP016889.1	CIRCULAR	1326926	1339850	4182028	CP077366.1	759599	772520	GCA_019048385.1	Pantoea agglomerans	98.1514	96	0.309061
S	CP016889.1	CIRCULAR	1339851	1340006	4182028	FOVG01000001.1	2306390	2306547	GCA_900115075.1	Candidatus Pantoea varia	93.7107	96	0.00373025
S	CP016889.1	CIRCULAR	1340007	1342759	4182028	JAGTWO010000004.1	2979619	2982371	GCA_018842675.1	Candidatus Pantoea bituminis	97.2414	96	0.0658293
S	CP016889.1	CIRCULAR	1342760	1343355	4182028	RHDS01000026.1	107	702	GCA_003710245.1	[Curtobacterium] plantarum	98.4925	96	0.0142515
-	CP016889.1	CIRCULAR	1343356	1354009	4182028	CP077366.1	745497	756153	GCA_019048385.1	Pantoea agglomerans	98.799	96	0.254757
S	CP016889.1	CIRCULAR	1354010	1355026	4182028	SBFD01000013.1	8954	9970	GCA_014156615.1	Pantoea pleuroti	99.705	96	0.0243183
-	CP016889.1	CIRCULAR	1355027	1369240	4182028	CP077366.1	731310	745493	GCA_019048385.1	Pantoea agglomerans	98.0584	96	0.339883
S	CP016889.1	CIRCULAR	1369241	1372922	4182028	SBFD01000013.1	24184	27867	GCA_014156615.1	Pantoea pleuroti	98.7514	96	0.0880434
-	CP016889.1	CIRCULAR	1372923	1393951	4182028	CP077366.1	710270	731300	GCA_019048385.1	Pantoea agglomerans	98.3982	96	0.502842
S	CP016889.1	CIRCULAR	1393952	1394895	4182028	SBFD01000013.1	48904	49855	GCA_014156615.1	Pantoea pleuroti	98.0105	96	0.0225728
-	CP016889.1	CIRCULAR	1394896	1470422	4182028	CP077366.1	634789	710269	GCA_019048385.1	Pantoea agglomerans	98.2673	96	1.80599
S	CP016889.1	CIRCULAR	1470423	1470609	4182028	CP082292.1	3792496	3792682	GCA_019880205.1	Pantoea alfalfae	95.1872	96	0.00447151
-	CP016889.1	CIRCULAR	1470610	1511556	4182028	CP077366.1	593465	634414	GCA_019048385.1	Pantoea agglomerans	98.5594	96	0.979118
S	CP016889.1	CIRCULAR	1511557	1512490	4182028	SBFD01000007.1	39132	40065	GCA_014156615.1	Pantoea pleuroti	98.6081	96	0.0223337
-	CP016889.1	CIRCULAR	1512491	1521996	4182028	CP077366.1	583848	593354	GCA_019048385.1	Pantoea agglomerans	97.6438	96	0.227306
-	CP016889.1	CIRCULAR	1522092	1557198	4182028	CP077366.1	548760	583847	GCA_019048385.1	Pantoea agglomerans	98.2741	96	0.839473
S	CP016889.1	CIRCULAR	1557199	1557687	4182028	SBFD01000007.1	84755	85243	GCA_014156615.1	Pantoea pleuroti	98.773	96	0.0116929
-	CP016889.1	CIRCULAR	1557688	1566396	4182028	CP077366.1	540015	548726	GCA_019048385.1	Pantoea agglomerans	97.8997	96	0.208248
S	CP016889.1	CIRCULAR	1566397	1571803	4182028	SBFD01000007.1	93953	99351	GCA_014156615.1	Pantoea pleuroti	94.5746	96	0.129291
S	CP016889.1	CIRCULAR	1571811	1572190	4182028	CP082292.1	3944935	3945314	GCA_019880205.1	Pantoea alfalfae	75	96	0.0090865
S	CP016889.1	CIRCULAR	1572191	1572403	4182028	RMVG01000026.1	40838	41050	GCA_003813865.1	Candidatus Pantoea deserta	81.6901	96	0.00509322
S	CP016889.1	CIRCULAR	1572404	1572518	4182028	CP032704.1	103130	103244	GCA_007833795.1	Candidatus Pantoea soli	82.7586	96	0.00274986
S	CP016889.1	CIRCULAR	1572519	1572887	4182028	VXKA01000001.1	621130	621498	GCA_008692915.1	Pantoea dispersa	88.6179	96	0.00882347
S	CP016889.1	CIRCULAR	1572908	1573476	4182028	RHDS01000007.1	107119	107695	GCA_003710245.1	[Curtobacterium] plantarum	82.3529	96	0.0136058
-	CP016889.1	CIRCULAR	1573477	1573628	4182028	CP077366.1	525672	525825	GCA_019048385.1	Pantoea agglomerans	86.5385	96	0.0036346
S	CP016889.1	CIRCULAR	1573629	1574569	4182028	SBFD01000007.1	102625	103565	GCA_014156615.1	Pantoea pleuroti	98.9373	96	0.022501
-	CP016889.1	CIRCULAR	1574570	1599035	4182028	CP077366.1	499009	523475	GCA_019048385.1	Pantoea agglomerans	98.0505	96	0.585027
S	CP016889.1	CIRCULAR	1599036	1599161	4182028	SBFD01000007.1	128353	128478	GCA_014156615.1	Pantoea pleuroti	96.8254	96	0.00301289
-	CP016889.1	CIRCULAR	1599162	1609983	4182028	CP077366.1	487919	498739	GCA_019048385.1	Pantoea agglomerans	98.0379	96	0.258774
-	CP016889.1	CIRCULAR	1609984	1637777	4182028	CP077366.1	460061	487855	GCA_019048385.1	Pantoea agglomerans	98.0379	96	0.664606
S	CP016889.1	CIRCULAR	1637778	1639705	4182028	SBFD01000007.1	167085	169012	GCA_014156615.1	Pantoea pleuroti	99.5851	96	0.046102
-	CP016889.1	CIRCULAR	1639706	1664060	4182028	CP077366.1	435705	460060	GCA_019048385.1	Pantoea agglomerans	98.4357	96	0.582373
S	CP016889.1	CIRCULAR	1664063	1664299	4182028	SBFD01000007.1	193531	193772	GCA_014156615.1	Pantoea pleuroti	89.2562	96	0.00566711
-	CP016889.1	CIRCULAR	1664300	1723192	4182028	CP077366.1	376086	434959	GCA_019048385.1	Pantoea agglomerans	98.2805	96	1.40824
-	CP016889.1	CIRCULAR	1723224	1759891	4182028	CP077366.1	339240	375934	GCA_019048385.1	Pantoea agglomerans	98.6077	96	0.876799
-	CP016889.1	CIRCULAR	1759923	1790713	4182028	CP077366.1	308300	339088	GCA_019048385.1	Pantoea agglomerans	98.2236	96	0.73627
-	CP016889.1	CIRCULAR	1790793	1832855	4182028	CP077366.1	266240	308298	GCA_019048385.1	Pantoea agglomerans	98.0701	96	1.0058
-	CP016889.1	CIRCULAR	1834278	1834501	4182028	CP077366.1	264929	265153	GCA_019048385.1	Pantoea agglomerans	97.784	96	0.00535625
-	CP016889.1	CIRCULAR	1834502	1842830	4182028	CP077366.1	256460	264807	GCA_019048385.1	Pantoea agglomerans	97.784	96	0.199162
S	CP016889.1	CIRCULAR	1842831	1843639	4182028	SBFD01000005.1	87417	88225	GCA_014156615.1	Pantoea pleuroti	99.5056	96	0.0193447
-	CP016889.1	CIRCULAR	1843640	1850631	4182028	CP077366.1	248551	255543	GCA_019048385.1	Pantoea agglomerans	98.9561	96	0.167192
S	CP016889.1	CIRCULAR	1850632	1850774	4182028	RHDS01000003.1	90352	90494	GCA_003710245.1	[Curtobacterium] plantarum	95.8042	96	0.00341939
S	CP016889.1	CIRCULAR	1850775	1851190	4182028	SBFD01000005.1	95688	96104	GCA_014156615.1	Pantoea pleuroti	99.2806	96	0.00994733
-	CP016889.1	CIRCULAR	1851191	1860505	4182028	CP077366.1	239238	248550	GCA_019048385.1	Pantoea agglomerans	98.2718	96	0.222739
S	CP016889.1	CIRCULAR	1860506	1861851	4182028	SBFD01000005.1	105547	106894	GCA_014156615.1	Pantoea pleuroti	98.8872	96	0.0321853
-	CP016889.1	CIRCULAR	1861852	1869734	4182028	CP077366.1	230567	238449	GCA_019048385.1	Pantoea agglomerans	98.123	96	0.188497
-	CP016889.1	CIRCULAR	1869832	1891252	4182028	CP077366.1	207732	229153	GCA_019048385.1	Pantoea agglomerans	97.5029	96	0.512216
S	CP016889.1	CIRCULAR	1891253	1897724	4182028	SBFD01000005.1	136298	142769	GCA_014156615.1	Pantoea pleuroti	99.1815	96	0.154757
S	CP016889.1	CIRCULAR	1897725	1905043	4182028	CP071405.1	3649017	3656334	GCA_022647325.1	Pantoea deleyi	96.3728	96	0.175011
S	CP016889.1	CIRCULAR	1905044	1909871	4182028	CP071405.1	3644078	3648908	GCA_022647325.1	Pantoea deleyi	96.3728	96	0.115446
S	CP016889.1	CIRCULAR	1911020	1920158	4182028	CP071405.1	3633929	3643061	GCA_022647325.1	Pantoea deleyi	89.0929	96	0.21853
S	CP016889.1	CIRCULAR	1920601	1929703	4182028	CP071405.1	3624396	3633495	GCA_022647325.1	Pantoea deleyi	86.7097	96	0.21767
S	CP016889.1	CIRCULAR	1930506	1935185	4182028	CP071405.1	3618922	3623611	GCA_022647325.1	Pantoea deleyi	89.6743	96	0.111907
S	CP016889.1	CIRCULAR	1935223	1938945	4182028	CP071405.1	3615058	3618788	GCA_022647325.1	Pantoea deleyi	91.8542	96	0.0890238
S	CP016889.1	CIRCULAR	1938996	1940654	4182028	MIEI01000085.1	18058	19717	GCA_002095305.1	Pantoea brenneri	88.0723	96	0.0396697
S	CP016889.1	CIRCULAR	1940655	1941015	4182028	MIPO01000042.1	22400	22761	GCA_002095375.1	Pantoea deleyi	82.4176	96	0.00863218
S	CP016889.1	CIRCULAR	1941392	1943175	4182028	CP071405.1	3610346	3612129	GCA_022647325.1	Pantoea deleyi	76.7146	96	0.0426587
S	CP016889.1	CIRCULAR	1944116	1948722	4182028	CP071405.1	3604847	3609453	GCA_022647325.1	Pantoea deleyi	91.0076	96	0.110162
S	CP016889.1	CIRCULAR	1950384	1950798	4182028	CP071405.1	3587113	3587527	GCA_022647325.1	Pantoea deleyi	94.4712	96	0.00992342
S	CP016889.1	CIRCULAR	1952625	1958478	4182028	CP071405.1	3578698	3584543	GCA_022647325.1	Pantoea deleyi	94.9488	96	0.13998
S	CP016889.1	CIRCULAR	1958479	1959059	4182028	VHJA01000034.1	7545	8115	GCA_006494415.1	Pantoea deleyi	96.0413	96	0.0138928
S	CP016889.1	CIRCULAR	1959060	1959188	4182028	CP071405.1	3575260	3575388	GCA_022647325.1	Pantoea deleyi	96.8992	96	0.00308463
