# ANI ranges report for assembly: GCA_000739375.1
# Submitted organism: Comamonas testosteroni TK102 (taxid = 1392005, rank = no rank, lineage = Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Comamonadaceae; Comamonas)
# Submitted Organism Has Type Assembly: Yes
# Best match: Comamonas brasiliensis (taxid = 1812482, rank = species, lineage = Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Comamonadaceae; Comamonas)
# Status: MISASSIGNED
# Confidence: HIGH
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
S	CP006704.1	CIRCULAR	385082	385190	6062703	JAANES010000004.1	531	639	GCA_018292285.1	Comamonas brasiliensis	97.6478	96	0.00179788
-	CP006704.1	CIRCULAR	385191	413512	6062703	AHIL01000037.1	114373	142706	GCA_000241525.2	Comamonas testosteroni	96.0802	96	0.467151
S	CP006704.1	CIRCULAR	413513	419777	6062703	JAANES010000008.1	28070	34337	GCA_018292285.1	Comamonas brasiliensis	94.4542	96	0.103337
S	CP006704.1	CIRCULAR	419879	464777	6062703	JAANES010000008.1	34338	79250	GCA_018292285.1	Comamonas brasiliensis	96.3427	96	0.740577
-	CP006704.1	CIRCULAR	464778	465134	6062703	UFXL01000001.1	71607	71949	GCA_900461225.1	Comamonas testosteroni	91.6201	96	0.00588846
S	CP006704.1	CIRCULAR	465165	465346	6062703	JBFYGN010000004.1	72577	72751	GCA_041079535.1	Comamonas guangdongensis	81.9672	96	0.00300196
S	CP006704.1	CIRCULAR	465347	469005	6062703	JAANES010000008.1	79268	82922	GCA_018292285.1	Comamonas brasiliensis	96.1801	96	0.0603526
S	CP006704.1	CIRCULAR	469006	469136	6062703	LIOM01000011.1	84281	84397	GCA_001418295.1	Comamonas thiooxydans	87.7863	96	0.00216075
-	CP006704.1	CIRCULAR	469137	475826	6062703	UFXL01000001.1	61160	67847	GCA_900461225.1	Comamonas testosteroni	93.9887	96	0.110347
S	CP006704.1	CIRCULAR	475883	520821	6062703	JAANES010000008.1	89653	134590	GCA_018292285.1	Comamonas brasiliensis	96.7508	96	0.741237
S	CP006704.1	CIRCULAR	520973	530603	6062703	JAANES010000008.1	134722	144323	GCA_018292285.1	Comamonas brasiliensis	96.4182	96	0.158857
-	CP006704.1	CIRCULAR	530604	546907	6062703	UFXL01000001.1	2440	18756	GCA_900461225.1	Comamonas testosteroni	97.1075	96	0.268923
-	CP006704.1	CIRCULAR	546908	549338	6062703	UFXL01000001.1	1671220	1673649	GCA_900461225.1	Comamonas testosteroni	97.1075	96	0.0400976
-	CP006704.1	CIRCULAR	549339	550875	6062703	UFXL01000002.1	4193	5727	GCA_900461225.1	Comamonas testosteroni	97.1075	96	0.0253517
S	CP006704.1	CIRCULAR	550876	552272	6062703	LIOM01000033.1	1	1397	GCA_001418295.1	Comamonas thiooxydans	99.6421	96	0.0230425
S	CP006704.1	CIRCULAR	552273	552532	6062703	JABBCQ020000039.1	1	274	GCA_012844455.2	Comamonas suwonensis	89.8182	96	0.00428852
S	CP006704.1	CIRCULAR	552533	552690	6062703	CP125947.1	4969142	4969300	GCA_030064165.1	Comamonas resistens	83.75	96	0.0026061
-	CP006704.1	CIRCULAR	552691	555064	6062703	AHIL01000001.1	3194	5567	GCA_000241525.2	Comamonas testosteroni	99.4524	96	0.0391575
-	CP006704.1	CIRCULAR	555065	556601	6062703	UFXL01000001.1	1679373	1680909	GCA_900461225.1	Comamonas testosteroni	98.6898	96	0.0253517
-	CP006704.1	CIRCULAR	556602	558341	6062703	UFXL01000001.1	1675187	1676923	GCA_900461225.1	Comamonas testosteroni	98.6898	96	0.0287001
-	CP006704.1	CIRCULAR	558357	558880	6062703	UFXL01000001.1	1676939	1677462	GCA_900461225.1	Comamonas testosteroni	98.0952	96	0.00864301
S	CP006704.1	CIRCULAR	558881	563504	6062703	CP066783.1	497759	502400	GCA_019186805.1	Comamonas fluminis	97.6539	96	0.0762696
S	CP006704.1	CIRCULAR	563505	585371	6062703	JAANES010000003.1	828285	850151	GCA_018292285.1	Comamonas brasiliensis	96.86	96	0.360681
-	CP006704.1	CIRCULAR	585372	585500	6062703	UFXL01000001.1	849325	849453	GCA_900461225.1	Comamonas testosteroni	89.1473	96	0.00212776
S	CP006704.1	CIRCULAR	585501	596292	6062703	JAANES010000003.1	817394	828185	GCA_018292285.1	Comamonas brasiliensis	96.0541	96	0.178006
S	CP006704.1	CIRCULAR	596342	599096	6062703	JAANES010000003.1	813507	816260	GCA_018292285.1	Comamonas brasiliensis	96.9532	96	0.0454418
S	CP006704.1	CIRCULAR	599133	612024	6062703	JAANES010000003.1	800153	813042	GCA_018292285.1	Comamonas brasiliensis	96.7122	96	0.212644
S	CP006704.1	CIRCULAR	612025	612374	6062703	JBHUMV010000001.1	49613	49952	GCA_042685145.1	Comamonas terrae	83.2386	96	0.005773
S	CP006704.1	CIRCULAR	612404	622632	6062703	JAANES010000003.1	784882	795068	GCA_018292285.1	Comamonas brasiliensis	96.4516	96	0.16872
-	CP006704.1	CIRCULAR	622633	623938	6062703	UFXL01000001.1	883108	884413	GCA_900461225.1	Comamonas testosteroni	97.3201	96	0.0215415
S	CP006704.1	CIRCULAR	623939	624059	6062703	JAANES010000003.1	783454	783575	GCA_018292285.1	Comamonas brasiliensis	96.7213	96	0.00199581
-	CP006704.1	CIRCULAR	624208	624324	6062703	UFXL01000001.1	884414	884530	GCA_900461225.1	Comamonas testosteroni	97.4359	96	0.00192983
S	CP006704.1	CIRCULAR	624325	644618	6062703	JAANES010000003.1	763202	783452	GCA_018292285.1	Comamonas brasiliensis	96.1061	96	0.334735
S	CP006704.1	CIRCULAR	644707	673107	6062703	JAANES010000003.1	734731	763151	GCA_018292285.1	Comamonas brasiliensis	97.0352	96	0.468454
-	CP006704.1	CIRCULAR	673216	682366	6062703	UFXL01000001.1	930715	939864	GCA_900461225.1	Comamonas testosteroni	94.1594	96	0.150939
S	CP006704.1	CIRCULAR	682825	684590	6062703	JAANES010000003.1	723638	725403	GCA_018292285.1	Comamonas brasiliensis	97.5651	96	0.0291289
S	CP006704.1	CIRCULAR	684698	689394	6062703	JAANES010000003.1	715335	720031	GCA_018292285.1	Comamonas brasiliensis	96.5525	96	0.0774737
S	CP006704.1	CIRCULAR	689395	689536	6062703	LIOM01000001.1	120893	121033	GCA_001418295.1	Comamonas thiooxydans	93.7063	96	0.00234219
S	CP006704.1	CIRCULAR	689537	772638	6062703	JAANES010000003.1	632096	715251	GCA_018292285.1	Comamonas brasiliensis	96.7843	96	1.37071
-	CP006704.1	CIRCULAR	772639	772778	6062703	UFXL01000001.1	1023694	1023833	GCA_900461225.1	Comamonas testosteroni	97.8571	96	0.0023092
S	CP006704.1	CIRCULAR	772779	774478	6062703	JAANES010000003.1	630176	631875	GCA_018292285.1	Comamonas brasiliensis	97.1765	96	0.0280403
S	CP006704.1	CIRCULAR	774575	813638	6062703	JAANES010000003.1	591065	630122	GCA_018292285.1	Comamonas brasiliensis	96.5769	96	0.644333
-	CP006704.1	CIRCULAR	813639	822865	6062703	UFXL01000001.1	1064444	1073666	GCA_900461225.1	Comamonas testosteroni	90.1556	96	0.152193
S	CP006704.1	CIRCULAR	822866	859242	6062703	JAANES010000003.1	545507	581877	GCA_018292285.1	Comamonas brasiliensis	97.6946	96	0.600013
-	CP006704.1	CIRCULAR	859243	859416	6062703	UFXL01000001.1	1110795	1110968	GCA_900461225.1	Comamonas testosteroni	95.977	96	0.00287001
S	CP006704.1	CIRCULAR	859417	928930	6062703	JAANES010000003.1	475957	545490	GCA_018292285.1	Comamonas brasiliensis	96.5181	96	1.14658
-	CP006704.1	CIRCULAR	928931	929110	6062703	UFXL01000001.1	1180505	1180684	GCA_900461225.1	Comamonas testosteroni	100	96	0.00296897
S	CP006704.1	CIRCULAR	929111	977933	6062703	JAANES010000003.1	427008	475859	GCA_018292285.1	Comamonas brasiliensis	97.2314	96	0.805301
S	CP006704.1	CIRCULAR	984069	985181	6062703	CP066783.1	2772776	2773888	GCA_019186805.1	Comamonas fluminis	81.8509	96	0.0183581
T	CP006704.1	CIRCULAR	985182	985365	6062703	CP002657.1	1884048	1884234	GCA_000204645.1	Alicycliphilus denitrificans	64.0625	96	0.00303495
S	CP006704.1	CIRCULAR	985366	988522	6062703	CP066783.1	2774097	2777256	GCA_019186805.1	Comamonas fluminis	78.6503	96	0.0520725
S	CP006704.1	CIRCULAR	996052	1008101	6062703	JABBCQ020000014.1	997	13046	GCA_012844455.2	Comamonas suwonensis	98.5234	96	0.198756
S	CP006704.1	CIRCULAR	1009232	1009813	6062703	JAANES010000006.1	339705	340286	GCA_018292285.1	Comamonas brasiliensis	92.268	96	0.00959968
S	CP006704.1	CIRCULAR	1018691	1022615	6062703	JAANES010000002.1	346165	350102	GCA_018292285.1	Comamonas brasiliensis	76.255	96	0.0647401
-	CP006704.1	CIRCULAR	1024322	1034159	6062703	UFXL01000001.1	1240455	1250260	GCA_900461225.1	Comamonas testosteroni	88.9666	96	0.162271
-	CP006704.1	CIRCULAR	1034263	1037121	6062703	UFXL01000001.1	1250276	1253136	GCA_900461225.1	Comamonas testosteroni	91.1754	96	0.0471572
S	CP006704.1	CIRCULAR	1037183	1076292	6062703	JAANES010000003.1	373981	413109	GCA_018292285.1	Comamonas brasiliensis	97.0913	96	0.645092
S	CP006704.1	CIRCULAR	1076536	1112256	6062703	JAANES010000003.1	338264	373980	GCA_018292285.1	Comamonas brasiliensis	96.3654	96	0.589193
-	CP006704.1	CIRCULAR	1112257	1112506	6062703	UFXL01000001.1	1331800	1332049	GCA_900461225.1	Comamonas testosteroni	98	96	0.00412357
S	CP006704.1	CIRCULAR	1112507	1113735	6062703	JAANES010000003.1	337035	338263	GCA_018292285.1	Comamonas brasiliensis	97.8031	96	0.0202715
S	CP006704.1	CIRCULAR	1113739	1113850	6062703	CP125947.1	4009779	4009876	GCA_030064165.1	Comamonas resistens	80.531	96	0.00184736
S	CP006704.1	CIRCULAR	1113863	1114028	6062703	JAANES010000004.1	354573	354738	GCA_018292285.1	Comamonas brasiliensis	93.3735	96	0.00273805
S	CP006704.1	CIRCULAR	1114037	1152050	6062703	JAANES010000003.1	299054	337030	GCA_018292285.1	Comamonas brasiliensis	97.4805	96	0.627014
S	CP006704.1	CIRCULAR	1152054	1152204	6062703	LIOM01000012.1	20078	20229	GCA_001418295.1	Comamonas thiooxydans	96.0526	96	0.00249064
S	CP006704.1	CIRCULAR	1152223	1152322	6062703	BBVD01000005.1	581968	582066	GCA_000964545.1	Comamonas thiooxydans	96	96	0.00164943
S	CP006704.1	CIRCULAR	1152323	1161917	6062703	JAANES010000003.1	289484	299050	GCA_018292285.1	Comamonas brasiliensis	96.4699	96	0.158263
-	CP006704.1	CIRCULAR	1161918	1162132	6062703	UFXL01000001.1	1380910	1381113	GCA_900461225.1	Comamonas testosteroni	85.2535	96	0.00354627
S	CP006704.1	CIRCULAR	1162133	1170095	6062703	JAANES010000003.1	281330	289289	GCA_018292285.1	Comamonas brasiliensis	97.1629	96	0.131344
S	CP006704.1	CIRCULAR	1170153	1233247	6062703	JAANES010000003.1	216670	279757	GCA_018292285.1	Comamonas brasiliensis	96.7979	96	1.04071
-	CP006704.1	CIRCULAR	1233248	1233358	6062703	UFXL01000001.1	1452236	1452350	GCA_900461225.1	Comamonas testosteroni	96.5217	96	0.00183087
S	CP006704.1	CIRCULAR	1233359	1234042	6062703	JAANES010000003.1	215818	216506	GCA_018292285.1	Comamonas brasiliensis	97.2424	96	0.0112821
S	CP006704.1	CIRCULAR	1234043	1234163	6062703	LIOM01000001.1	615640	615760	GCA_001418295.1	Comamonas thiooxydans	97.5207	96	0.00199581
S	CP006704.1	CIRCULAR	1234164	1261675	6062703	JAANES010000003.1	188166	215658	GCA_018292285.1	Comamonas brasiliensis	96.9721	96	0.453791
S	CP006704.1	CIRCULAR	1261919	1262035	6062703	JABBCQ020000008.1	214897	215014	GCA_012844455.2	Comamonas suwonensis	70.1613	96	0.00192983
-	CP006704.1	CIRCULAR	1262036	1265082	6062703	UFXL01000001.1	1482864	1485909	GCA_900461225.1	Comamonas testosteroni	96.3243	96	0.0502581
S	CP006704.1	CIRCULAR	1265083	1265256	6062703	JAANES010000003.1	182838	183013	GCA_018292285.1	Comamonas brasiliensis	96.0227	96	0.00287001
-	CP006704.1	CIRCULAR	1265257	1273486	6062703	UFXL01000001.1	1486465	1494661	GCA_900461225.1	Comamonas testosteroni	92.9205	96	0.135748
S	CP006704.1	CIRCULAR	1273487	1280198	6062703	JAANES010000003.1	167910	174620	GCA_018292285.1	Comamonas brasiliensis	93.105	96	0.11071
-	CP006704.1	CIRCULAR	1280199	1324553	6062703	UFXL01000001.1	1502445	1546815	GCA_900461225.1	Comamonas testosteroni	94.5605	96	0.731604
S	CP006704.1	CIRCULAR	1324554	1324687	6062703	JAANES010000003.1	123433	123566	GCA_018292285.1	Comamonas brasiliensis	93.2836	96	0.00221024
-	CP006704.1	CIRCULAR	1324688	1326008	6062703	UFXL01000001.1	3770212	3771535	GCA_900461225.1	Comamonas testosteroni	86.1237	96	0.021789
S	CP006704.1	CIRCULAR	1326009	1326259	6062703	JAANES010000003.1	121862	122111	GCA_018292285.1	Comamonas brasiliensis	91.2351	96	0.00414007
-	CP006704.1	CIRCULAR	1326260	1328037	6062703	UFXL01000001.1	1546885	1548615	GCA_900461225.1	Comamonas testosteroni	89.1937	96	0.0293269
S	CP006704.1	CIRCULAR	1328038	1328290	6062703	JAANES010000003.1	119861	120113	GCA_018292285.1	Comamonas brasiliensis	92.4901	96	0.00417306
-	CP006704.1	CIRCULAR	1328291	1339916	6062703	UFXL01000001.1	1548790	1560479	GCA_900461225.1	Comamonas testosteroni	92.5158	96	0.191763
S	CP006704.1	CIRCULAR	1339917	1347854	6062703	JAANES010000003.1	97559	105478	GCA_018292285.1	Comamonas brasiliensis	97.3459	96	0.130932
S	CP006704.1	CIRCULAR	1347919	1372273	6062703	JAANES010000003.1	73199	97557	GCA_018292285.1	Comamonas brasiliensis	97.2287	96	0.401719
-	CP006704.1	CIRCULAR	1372274	1372407	6062703	UFXL01000001.1	1596883	1597054	GCA_900461225.1	Comamonas testosteroni	55.5556	96	0.00221024
S	CP006704.1	CIRCULAR	1372408	1385664	6062703	JAANES010000003.1	59961	73198	GCA_018292285.1	Comamonas brasiliensis	96.8818	96	0.218665
-	CP006704.1	CIRCULAR	1385665	1388530	6062703	UFXL01000001.1	1612984	1615888	GCA_900461225.1	Comamonas testosteroni	88.9271	96	0.0472726
S	CP006704.1	CIRCULAR	1394012	1395764	6062703	CP066783.1	2428195	2429953	GCA_019186805.1	Comamonas fluminis	87.7054	96	0.0289145
S	CP006704.1	CIRCULAR	1396689	1404703	6062703	JAANES010000003.1	51196	59210	GCA_018292285.1	Comamonas brasiliensis	97.1678	96	0.132202
-	CP006704.1	CIRCULAR	1404704	1408195	6062703	UFXL01000001.1	1623896	1627388	GCA_900461225.1	Comamonas testosteroni	92.655	96	0.0575981
-	CP006704.1	CIRCULAR	1408284	1412508	6062703	UFXL01000001.1	1627389	1631613	GCA_900461225.1	Comamonas testosteroni	89.8606	96	0.0696884
S	CP006704.1	CIRCULAR	1412509	1412648	6062703	JAANES010000003.1	45066	45205	GCA_018292285.1	Comamonas brasiliensis	90.7143	96	0.0023092
-	CP006704.1	CIRCULAR	1412649	1416920	6062703	UFXL01000001.1	1631614	1635898	GCA_900461225.1	Comamonas testosteroni	95.498	96	0.0704636
S	CP006704.1	CIRCULAR	1416921	1417021	6062703	JAANES010000003.1	40689	40790	GCA_018292285.1	Comamonas brasiliensis	68.2692	96	0.00166592
-	CP006704.1	CIRCULAR	1417022	1425841	6062703	UFXL01000001.1	1635948	1644780	GCA_900461225.1	Comamonas testosteroni	91.6761	96	0.14548
S	CP006704.1	CIRCULAR	1425842	1452306	6062703	JAANES010000003.1	5713	32196	GCA_018292285.1	Comamonas brasiliensis	96.7765	96	0.436521
S	CP006704.1	CIRCULAR	1452307	1454372	6062703	CP066783.1	491853	493937	GCA_019186805.1	Comamonas fluminis	96.7881	96	0.0340772
-	CP006704.1	CIRCULAR	1454373	1455909	6062703	UFXL01000001.1	1673650	1675186	GCA_900461225.1	Comamonas testosteroni	99.6747	96	0.0253517
S	CP006704.1	CIRCULAR	1455910	1457566	6062703	CP066783.1	495474	497136	GCA_019186805.1	Comamonas fluminis	97.3038	96	0.027331
-	CP006704.1	CIRCULAR	1457725	1478352	6062703	BBJZ01000028.1	39527	60150	GCA_000740035.1	Comamonas testosteroni	96.3078	96	0.340244
S	CP006704.1	CIRCULAR	1478353	1501466	6062703	JAANES010000001.1	15812	38877	GCA_018292285.1	Comamonas brasiliensis	96.7263	96	0.381249
S	CP006704.1	CIRCULAR	1501518	1517769	6062703	JAANES010000001.1	38967	55216	GCA_018292285.1	Comamonas brasiliensis	96.3772	96	0.268065
-	CP006704.1	CIRCULAR	1517770	1517940	6062703	UFXL01000001.1	1737667	1737834	GCA_900461225.1	Comamonas testosteroni	86.0465	96	0.00282052
-	CP006704.1	CIRCULAR	1519595	1520069	6062703	UFXL01000001.1	4319998	4320472	GCA_900461225.1	Comamonas testosteroni	87.1579	96	0.00783479
S	CP006704.1	CIRCULAR	1520119	1520275	6062703	CBCSIW010000015.1	105940	106096	GCA_965139575.1	Comamonas aquatilis	96.8153	96	0.0025896
S	CP006704.1	CIRCULAR	1521723	1521929	6062703	JAANES010000002.1	243627	243833	GCA_018292285.1	Comamonas brasiliensis	93.2367	96	0.00341432
S	CP006704.1	CIRCULAR	1522030	1523994	6062703	JAANES010000002.1	241505	243469	GCA_018292285.1	Comamonas brasiliensis	90.4665	96	0.0324113
-	CP006704.1	CIRCULAR	1525399	1526587	6062703	UFXL01000001.1	4315876	4317063	GCA_900461225.1	Comamonas testosteroni	83.3054	96	0.0196117
S	CP006704.1	CIRCULAR	1526959	1527080	6062703	LIOM01000006.1	197567	197687	GCA_001418295.1	Comamonas thiooxydans	96.7213	96	0.0020123
S	CP006704.1	CIRCULAR	1527089	1527290	6062703	JAANES010000002.1	238571	238771	GCA_018292285.1	Comamonas brasiliensis	96.0396	96	0.00333185
-	CP006704.1	CIRCULAR	1533078	1533901	6062703	UFXL01000001.1	4307849	4308670	GCA_900461225.1	Comamonas testosteroni	91.5049	96	0.0135913
-	CP006704.1	CIRCULAR	1540065	1543031	6062703	AHIL01000041.1	157803	160769	GCA_000241525.2	Comamonas testosteroni	86.6712	96	0.0489386
S	CP006704.1	CIRCULAR	1543057	1543334	6062703	CBCSIW010000032.1	7594	7871	GCA_965139575.1	Comamonas aquatilis	86.0215	96	0.00458541
-	CP006704.1	CIRCULAR	1544385	1550123	6062703	UFXL01000001.1	4291721	4297457	GCA_900461225.1	Comamonas testosteroni	90.656	96	0.0946607
S	CP006704.1	CIRCULAR	1553903	1554635	6062703	LIOM01000006.1	223980	224712	GCA_001418295.1	Comamonas thiooxydans	94.2701	96	0.0120903
S	CP006704.1	CIRCULAR	1554636	1555180	6062703	JAANES010000002.1	210741	211288	GCA_018292285.1	Comamonas brasiliensis	72.973	96	0.00898939
S	CP006704.1	CIRCULAR	1555181	1555822	6062703	LIOM01000006.1	225333	225974	GCA_001418295.1	Comamonas thiooxydans	87.7709	96	0.0105893
-	CP006704.1	CIRCULAR	1556376	1562000	6062703	UFXL01000001.1	1740506	1746119	GCA_900461225.1	Comamonas testosteroni	92.2327	96	0.0927804
S	CP006704.1	CIRCULAR	1562001	1562953	6062703	JAANES010000001.1	60829	61775	GCA_018292285.1	Comamonas brasiliensis	92.5498	96	0.0157191
-	CP006704.1	CIRCULAR	1562954	1589827	6062703	UFXL01000001.1	1748551	1775453	GCA_900461225.1	Comamonas testosteroni	90.7482	96	0.443268
