# ANI ranges report for assembly: GCA_002076835.1
# Submitted organism: Streptococcus pneumoniae (taxid = 1313, rank = species, lineage = Bacteria; Bacillati; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus)
# Submitted Organism Has Type Assembly: Yes
# Best match: Streptococcus pneumoniae (taxid = 1313, rank = species, lineage = Bacteria; Bacillati; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus)
# Status: CONFIRMED
# Confidence: HIGH
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
-	CP020549.1	CONTIG|CIRCULAR	118100	121310	2148350	JBRUDM010000028.1	18142	21352	GCA_053203845.1	Streptococcus pneumoniae	100	96	0.149464
-	CP020549.1	CONTIG|CIRCULAR	121780	121913	2148350	LRDQ01000051.1	1491	1623	GCA_001679515.1	Streptococcus pneumoniae	97.0149	96	0.00623734
-	CP020549.1	CONTIG|CIRCULAR	121914	122018	2148350	JBRUDM010000003.1	60045	60149	GCA_053203845.1	Streptococcus pneumoniae	98.967	96	0.00488747
-	CP020549.1	CONTIG|CIRCULAR	122019	124914	2148350	JBRUDM010000028.1	14915	17810	GCA_053203845.1	Streptococcus pneumoniae	98.967	96	0.134801
-	CP020549.1	CONTIG|CIRCULAR	124971	128810	2148350	JBRUDM010000028.1	11027	14906	GCA_053203845.1	Streptococcus pneumoniae	98.068	96	0.178742
-	CP020549.1	CONTIG|CIRCULAR	128811	128916	2148350	LN831051.1	369348	369453	GCA_001457635.1	Streptococcus pneumoniae	100	96	0.00493402
-	CP020549.1	CONTIG|CIRCULAR	128917	136397	2148350	JBRUDM010000028.1	3549	11026	GCA_053203845.1	Streptococcus pneumoniae	99.1078	96	0.348221
-	CP020549.1	CONTIG|CIRCULAR	136398	139675	2148350	JBRUDM010000028.1	1	3278	GCA_053203845.1	Streptococcus pneumoniae	99.1078	96	0.152582
-	CP020549.1	CONTIG|CIRCULAR	139676	139946	2148350	LN831051.1	358283	358553	GCA_001457635.1	Streptococcus pneumoniae	86.7159	96	0.0126143
-	CP020549.1	CONTIG|CIRCULAR	139947	140587	2148350	JBRUDM010000036.1	5322	5962	GCA_053203845.1	Streptococcus pneumoniae	85.6474	96	0.0298369
S	CP020549.1	CONTIG|CIRCULAR	140588	141406	2148350	CAOKTW010000009.1	51117	51935	GCA_948472335.1	Streptococcus bouchesdurhonensis	95.116	96	0.0381223
-	CP020549.1	CONTIG|CIRCULAR	142011	149604	2148350	JBRUDM010000036.1	5963	13565	GCA_053203845.1	Streptococcus pneumoniae	98.5934	96	0.353481
-	CP020549.1	CONTIG|CIRCULAR	149669	154266	2148350	JBRUDM010000001.1	195947	200542	GCA_053203845.1	Streptococcus pneumoniae	99.0648	96	0.214025
-	CP020549.1	CONTIG|CIRCULAR	154401	156218	2148350	JBRUDM010000001.1	194089	195906	GCA_053203845.1	Streptococcus pneumoniae	96.4286	96	0.0846231
-	CP020549.1	CONTIG|CIRCULAR	156219	156332	2148350	LN831051.1	346718	346831	GCA_001457635.1	Streptococcus pneumoniae	96.4912	96	0.0053064
-	CP020549.1	CONTIG|CIRCULAR	156333	159443	2148350	JBRUDM010000001.1	190982	194088	GCA_053203845.1	Streptococcus pneumoniae	97.1419	96	0.144809
-	CP020549.1	CONTIG|CIRCULAR	159482	160291	2148350	JBRUDM010000001.1	190086	190895	GCA_053203845.1	Streptococcus pneumoniae	96.3039	96	0.0377034
-	CP020549.1	CONTIG|CIRCULAR	160292	160455	2148350	JBRUDM010000001.1	189859	190022	GCA_053203845.1	Streptococcus pneumoniae	96.3039	96	0.00763377
-	CP020549.1	CONTIG|CIRCULAR	160456	160596	2148350	LN831051.1	342619	342759	GCA_001457635.1	Streptococcus pneumoniae	96.4539	96	0.00656318
-	CP020549.1	CONTIG|CIRCULAR	161013	165563	2148350	JBRUDM010000001.1	184713	189264	GCA_053203845.1	Streptococcus pneumoniae	96.5298	96	0.211837
-	CP020549.1	CONTIG|CIRCULAR	166068	177953	2148350	JBRUDM010000001.1	172857	184710	GCA_053203845.1	Streptococcus pneumoniae	97.8261	96	0.553262
-	CP020549.1	CONTIG|CIRCULAR	177954	182115	2148350	JBRUDM010000001.1	168610	172766	GCA_053203845.1	Streptococcus pneumoniae	97.8261	96	0.19373
S	CP020549.1	CONTIG|CIRCULAR	182116	182329	2148350	CAOKTW010000007.1	141593	141806	GCA_948472335.1	Streptococcus bouchesdurhonensis	94.8598	96	0.00996113
-	CP020549.1	CONTIG|CIRCULAR	182330	184578	2148350	JBRUDM010000001.1	165468	167716	GCA_053203845.1	Streptococcus pneumoniae	99.1552	96	0.104685
-	CP020549.1	CONTIG|CIRCULAR	184845	196693	2148350	JBRUDM010000001.1	153399	165255	GCA_053203845.1	Streptococcus pneumoniae	99.3338	96	0.55154
-	CP020549.1	CONTIG|CIRCULAR	196697	198401	2148350	JBRUDM010000022.1	29526	31231	GCA_053203845.1	Streptococcus pneumoniae	99.3215	96	0.0793632
-	CP020549.1	CONTIG|CIRCULAR	198402	212447	2148350	JBRUDM010000001.1	139335	153398	GCA_053203845.1	Streptococcus pneumoniae	99.3215	96	0.653804
S	CP020549.1	CONTIG|CIRCULAR	212448	213802	2148350	MWSM01000007.1	121392	122745	GCA_002087075.1	Streptococcus pseudopneumoniae	93.5841	96	0.0630717
-	CP020549.1	CONTIG|CIRCULAR	215452	216908	2148350	JBRUDM010000009.1	54562	56019	GCA_053203845.1	Streptococcus pneumoniae	97.5995	96	0.0678195
S	CP020549.1	CONTIG|CIRCULAR	216909	217601	2148350	RBCK01000002.1	181671	182366	GCA_003626515.1	Streptococcus chosunensis	96.4132	96	0.0322573
-	CP020549.1	CONTIG|CIRCULAR	217602	218051	2148350	JBRUDM010000009.1	53177	53626	GCA_053203845.1	Streptococcus pneumoniae	91.5743	96	0.0209463
S	CP020549.1	CONTIG|CIRCULAR	218052	218178	2148350	MWSM01000007.1	116587	116713	GCA_002087075.1	Streptococcus pseudopneumoniae	80.6202	96	0.00591151
S	CP020549.1	CONTIG|CIRCULAR	218179	219061	2148350	CAOKTW010000009.1	91322	92204	GCA_948472335.1	Streptococcus bouchesdurhonensis	86.4045	96	0.0411013
S	CP020549.1	CONTIG|CIRCULAR	219062	219176	2148350	AP026968.1	9647	9760	GCA_037076355.1	Streptococcus parapneumoniae	63.5593	96	0.00535295
S	CP020549.1	CONTIG|CIRCULAR	219177	220128	2148350	MWSM01000007.1	114363	115313	GCA_002087075.1	Streptococcus pseudopneumoniae	92.6548	96	0.0443131
S	CP020549.1	CONTIG|CIRCULAR	220129	221952	2148350	AP026968.1	7091	8913	GCA_037076355.1	Streptococcus parapneumoniae	96.875	96	0.0849024
S	CP020549.1	CONTIG|CIRCULAR	221953	222185	2148350	JAHUZC010000002.1	167704	167937	GCA_019218685.1	Streptococcus vulneris	95.2991	96	0.0108455
S	CP020549.1	CONTIG|CIRCULAR	222186	222831	2148350	CAOKTW010000009.1	94544	95180	GCA_948472335.1	Streptococcus bouchesdurhonensis	89.3683	96	0.0300696
S	CP020549.1	CONTIG|CIRCULAR	222832	223321	2148350	MWSM01000007.1	111064	111551	GCA_002087075.1	Streptococcus pseudopneumoniae	92.2764	96	0.0228082
-	CP020549.1	CONTIG|CIRCULAR	223322	223657	2148350	JBRUDM010000009.1	48397	48733	GCA_053203845.1	Streptococcus pneumoniae	90.0293	96	0.0156399
S	CP020549.1	CONTIG|CIRCULAR	223658	223795	2148350	AP026968.1	5149	5284	GCA_037076355.1	Streptococcus parapneumoniae	79.2857	96	0.00642353
S	CP020549.1	CONTIG|CIRCULAR	223831	224424	2148350	AP026968.1	4191	4784	GCA_037076355.1	Streptococcus parapneumoniae	96.6387	96	0.0276491
-	CP020549.1	CONTIG|CIRCULAR	224425	225229	2148350	JBRUDM010000009.1	47071	47874	GCA_053203845.1	Streptococcus pneumoniae	91.8519	96	0.0374706
S	CP020549.1	CONTIG|CIRCULAR	225230	225351	2148350	CAOKTW010000009.1	96916	97037	GCA_948472335.1	Streptococcus bouchesdurhonensis	91.8033	96	0.00567878
-	CP020549.1	CONTIG|CIRCULAR	225352	231584	2148350	JBRUDM010000001.1	133102	139334	GCA_053203845.1	Streptococcus pneumoniae	99.4866	96	0.29013
S	CP020549.1	CONTIG|CIRCULAR	231585	231690	2148350	AP026968.1	2076978	2077078	GCA_037076355.1	Streptococcus parapneumoniae	70.7547	96	0.00493402
-	CP020549.1	CONTIG|CIRCULAR	231698	263751	2148350	JBRUDM010000001.1	101051	133091	GCA_053203845.1	Streptococcus pneumoniae	99.2892	96	1.49203
S	CP020549.1	CONTIG|CIRCULAR	263752	264776	2148350	CAOKTW010000007.1	53440	54474	GCA_948472335.1	Streptococcus bouchesdurhonensis	95.315	96	0.047711
S	CP020549.1	CONTIG|CIRCULAR	264777	264975	2148350	CAOKTW010000009.1	143053	143251	GCA_948472335.1	Streptococcus bouchesdurhonensis	95.315	96	0.00926292
-	CP020549.1	CONTIG|CIRCULAR	264976	306037	2148350	JBRUDM010000001.1	60023	101025	GCA_053203845.1	Streptococcus pneumoniae	98.3344	96	1.91133
S	CP020549.1	CONTIG|CIRCULAR	306038	307170	2148350	JPFZ01000008.1	20351	21455	GCA_000722775.1	Streptococcus mitis	96.5578	94	0.0527381
-	CP020549.1	CONTIG|CIRCULAR	307171	307918	2148350	JBRUDM010000001.1	58783	59530	GCA_053203845.1	Streptococcus pneumoniae	99.0642	96	0.0348174
-	CP020549.1	CONTIG|CIRCULAR	307920	316938	2148350	JBRUDM010000001.1	49660	58676	GCA_053203845.1	Streptococcus pneumoniae	99.4789	96	0.419811
S	CP020549.1	CONTIG|CIRCULAR	316985	317089	2148350	CAOKTW010000006.1	150120	150224	GCA_948472335.1	Streptococcus bouchesdurhonensis	98.0952	96	0.00488747
-	CP020549.1	CONTIG|CIRCULAR	317113	320924	2148350	JBRUDM010000001.1	45830	49634	GCA_053203845.1	Streptococcus pneumoniae	98.2424	96	0.177438
-	CP020549.1	CONTIG|CIRCULAR	320925	322656	2148350	LN831051.1	197217	198947	GCA_001457635.1	Streptococcus pneumoniae	99.2494	96	0.08062
-	CP020549.1	CONTIG|CIRCULAR	322657	323854	2148350	JBRUDM010000001.1	42795	43992	GCA_053203845.1	Streptococcus pneumoniae	79.7185	96	0.0557637
-	CP020549.1	CONTIG|CIRCULAR	327398	327571	2148350	JBRUDM010000001.1	35906	36078	GCA_053203845.1	Streptococcus pneumoniae	81.25	96	0.00809924
-	CP020549.1	CONTIG|CIRCULAR	327572	327831	2148350	LQXF01000012.1	154871	155130	GCA_001679535.1	Streptococcus pneumoniae	98.4615	96	0.0121023
-	CP020549.1	CONTIG|CIRCULAR	327832	327934	2148350	JBRUDM010000001.1	35546	35645	GCA_053203845.1	Streptococcus pneumoniae	92.233	96	0.00479438
S	CP020549.1	CONTIG|CIRCULAR	327935	328336	2148350	CP077259.1	474147	474547	GCA_019047825.1	Streptococcus mitis	95.2736	94	0.018712
S	CP020549.1	CONTIG|CIRCULAR	328337	328589	2148350	AP026968.1	1986942	1987162	GCA_037076355.1	Streptococcus parapneumoniae	73.622	96	0.0117765
S	CP020549.1	CONTIG|CIRCULAR	328590	330227	2148350	MWSM01000071.1	6273	7910	GCA_002087075.1	Streptococcus pseudopneumoniae	95.6071	96	0.0762446
-	CP020549.1	CONTIG|CIRCULAR	330228	355003	2148350	JBRUDM010000001.1	3039	27818	GCA_053203845.1	Streptococcus pneumoniae	97.8844	96	1.15326
-	CP020549.1	CONTIG|CIRCULAR	355004	357491	2148350	JBRUDM010000001.1	281	2767	GCA_053203845.1	Streptococcus pneumoniae	97.8844	96	0.11581
-	CP020549.1	CONTIG|CIRCULAR	357576	362021	2148350	JBRUDM010000006.1	113889	118334	GCA_053203845.1	Streptococcus pneumoniae	97.414	96	0.20695
-	CP020549.1	CONTIG|CIRCULAR	362648	367810	2148350	JBRUDM010000006.1	108014	113186	GCA_053203845.1	Streptococcus pneumoniae	93.8961	96	0.240324
-	CP020549.1	CONTIG|CIRCULAR	374330	377892	2148350	LN831051.1	136979	140528	GCA_001457635.1	Streptococcus pneumoniae	89.916	96	0.165848
S	CP020549.1	CONTIG|CIRCULAR	377893	378079	2148350	CAOKTW010000010.1	143614	143800	GCA_948472335.1	Streptococcus bouchesdurhonensis	96.2567	96	0.00870435
-	CP020549.1	CONTIG|CIRCULAR	378080	378225	2148350	JBRUDM010000007.1	34224	34369	GCA_053203845.1	Streptococcus pneumoniae	90.411	96	0.00679591
-	CP020549.1	CONTIG|CIRCULAR	378504	378970	2148350	LN831051.1	135972	136440	GCA_001457635.1	Streptococcus pneumoniae	97.0149	96	0.0217376
-	CP020549.1	CONTIG|CIRCULAR	379005	379226	2148350	JBRUDM010000006.1	93207	93427	GCA_053203845.1	Streptococcus pneumoniae	98.6486	96	0.0103335
-	CP020549.1	CONTIG|CIRCULAR	379240	379413	2148350	JBRUDM010000035.1	14362	14535	GCA_053203845.1	Streptococcus pneumoniae	100	96	0.00809924
-	CP020549.1	CONTIG|CIRCULAR	379949	380471	2148350	JBRUDM010000019.1	1	524	GCA_053203845.1	Streptococcus pneumoniae	96.8039	96	0.0243443
-	CP020549.1	CONTIG|CIRCULAR	380472	397512	2148350	JBRUDM010000006.1	76170	93206	GCA_053203845.1	Streptococcus pneumoniae	96.8039	96	0.793213
-	CP020549.1	CONTIG|CIRCULAR	397513	398053	2148350	LN831051.1	118179	118719	GCA_001457635.1	Streptococcus pneumoniae	98.5213	96	0.0251821
-	CP020549.1	CONTIG|CIRCULAR	398054	411210	2148350	JBRUDM010000006.1	62494	75649	GCA_053203845.1	Streptococcus pneumoniae	99.0501	96	0.612423
-	CP020549.1	CONTIG|CIRCULAR	411311	452193	2148350	JBRUDM010000006.1	20300	61255	GCA_053203845.1	Streptococcus pneumoniae	99.014	96	1.903
-	CP020549.1	CONTIG|CIRCULAR	452194	452333	2148350	LN831051.1	69669	69809	GCA_001457635.1	Streptococcus pneumoniae	97.8723	96	0.00651663
-	CP020549.1	CONTIG|CIRCULAR	452334	461820	2148350	JBRUDM010000006.1	10815	20299	GCA_053203845.1	Streptococcus pneumoniae	98.993	96	0.441595
-	CP020549.1	CONTIG|CIRCULAR	461821	467030	2148350	JBRUDM010000006.1	5491	10700	GCA_053203845.1	Streptococcus pneumoniae	98.993	96	0.242512
-	CP020549.1	CONTIG|CIRCULAR	467672	472587	2148350	JBRUDM010000006.1	201	5072	GCA_053203845.1	Streptococcus pneumoniae	98.1289	96	0.228827
-	CP020549.1	CONTIG|CIRCULAR	472662	472794	2148350	JBRUDM010000034.1	14006	14138	GCA_053203845.1	Streptococcus pneumoniae	85.7143	96	0.0061908
-	CP020549.1	CONTIG|CIRCULAR	485338	500062	2148350	JBRUDM010000021.1	17469	32193	GCA_053203845.1	Streptococcus pneumoniae	99.6876	96	0.68541
-	CP020549.1	CONTIG|CIRCULAR	500673	506088	2148350	JBRUDM010000021.1	11989	17405	GCA_053203845.1	Streptococcus pneumoniae	98.9478	96	0.2521
-	CP020549.1	CONTIG|CIRCULAR	506089	506306	2148350	LN831051.1	28284	28501	GCA_001457635.1	Streptococcus pneumoniae	100	96	0.0101473
-	CP020549.1	CONTIG|CIRCULAR	506307	518045	2148350	JBRUDM010000021.1	238	11988	GCA_053203845.1	Streptococcus pneumoniae	99.1405	96	0.546419
-	CP020549.1	CONTIG|CIRCULAR	518046	521173	2148350	JBRUDM010000040.1	631	3764	GCA_053203845.1	Streptococcus pneumoniae	99.1405	96	0.1456
-	CP020549.1	CONTIG|CIRCULAR	521274	532473	2148350	JBRUDM010000020.1	24945	36156	GCA_053203845.1	Streptococcus pneumoniae	99.257	96	0.52133
-	CP020549.1	CONTIG|CIRCULAR	532474	535797	2148350	JBRUDM010000020.1	21265	24588	GCA_053203845.1	Streptococcus pneumoniae	99.257	96	0.154723
-	CP020549.1	CONTIG|CIRCULAR	536095	537489	2148350	JBRUDM010000020.1	19868	21262	GCA_053203845.1	Streptococcus pneumoniae	96.3441	96	0.0649336
-	CP020549.1	CONTIG|CIRCULAR	537556	543854	2148350	JBRUDM010000020.1	13459	19761	GCA_053203845.1	Streptococcus pneumoniae	96.355	96	0.293202
-	CP020549.1	CONTIG|CIRCULAR	543856	544759	2148350	JBRUDM010000020.1	12041	12962	GCA_053203845.1	Streptococcus pneumoniae	97.5454	96	0.0420788
-	CP020549.1	CONTIG|CIRCULAR	544760	549010	2148350	JBRUDM010000020.1	7243	11493	GCA_053203845.1	Streptococcus pneumoniae	97.5454	96	0.197873
-	CP020549.1	CONTIG|CIRCULAR	549249	554182	2148350	JBRUDM010000020.1	2309	7242	GCA_053203845.1	Streptococcus pneumoniae	99.5946	96	0.229665
-	CP020549.1	CONTIG|CIRCULAR	554288	556213	2148350	LN831051.1	2068277	2070202	GCA_001457635.1	Streptococcus pneumoniae	98.1837	96	0.0896502
-	CP020549.1	CONTIG|CIRCULAR	556214	563246	2148350	JBRUDM010000010.1	74987	82019	GCA_053203845.1	Streptococcus pneumoniae	96.5164	96	0.327368
S	CP020549.1	CONTIG|CIRCULAR	565234	565403	2148350	AP026968.1	1782332	1782500	GCA_037076355.1	Streptococcus parapneumoniae	85.8824	96	0.00791305
-	CP020549.1	CONTIG|CIRCULAR	565404	566412	2148350	JBRUDM010000010.1	72997	74008	GCA_053203845.1	Streptococcus pneumoniae	96.2562	96	0.0469663
-	CP020549.1	CONTIG|CIRCULAR	566420	566690	2148350	JBRUDM010000010.1	71357	71627	GCA_053203845.1	Streptococcus pneumoniae	97.786	96	0.0126143
-	CP020549.1	CONTIG|CIRCULAR	566796	623177	2148350	JBRUDM010000010.1	14946	71356	GCA_053203845.1	Streptococcus pneumoniae	96.6904	96	2.62443
-	CP020549.1	CONTIG|CIRCULAR	623178	624757	2148350	JBRUDM010000010.1	13170	14748	GCA_053203845.1	Streptococcus pneumoniae	96.6904	96	0.0735448
-	CP020549.1	CONTIG|CIRCULAR	624758	624871	2148350	JBRUDM010000001.1	1	114	GCA_053203845.1	Streptococcus pneumoniae	96.6904	96	0.0053064
-	CP020549.1	CONTIG|CIRCULAR	624940	630287	2148350	JBRUDM010000010.1	7545	12936	GCA_053203845.1	Streptococcus pneumoniae	98.5166	96	0.248935
-	CP020549.1	CONTIG|CIRCULAR	630333	637186	2148350	JBRUDM010000010.1	680	7544	GCA_053203845.1	Streptococcus pneumoniae	97.7164	96	0.319036
-	CP020549.1	CONTIG|CIRCULAR	637656	637937	2148350	LN831051.1	1985756	1986037	GCA_001457635.1	Streptococcus pneumoniae	98.6047	96	0.0131264
-	CP020549.1	CONTIG|CIRCULAR	637938	638085	2148350	LN831051.1	525720	525867	GCA_001457635.1	Streptococcus pneumoniae	98.6047	96	0.00688901
-	CP020549.1	CONTIG|CIRCULAR	638478	639049	2148350	LN831051.1	1984598	1985169	GCA_001457635.1	Streptococcus pneumoniae	96.8531	96	0.0266251
-	CP020549.1	CONTIG|CIRCULAR	639050	639276	2148350	JBRUDM010000011.1	32872	33098	GCA_053203845.1	Streptococcus pneumoniae	99.0115	96	0.0105662
-	CP020549.1	CONTIG|CIRCULAR	639277	639656	2148350	JBRUDM010000010.1	128	507	GCA_053203845.1	Streptococcus pneumoniae	99.0115	96	0.017688
-	CP020549.1	CONTIG|CIRCULAR	640170	658602	2148350	JBRUDM010000032.1	49	18482	GCA_053203845.1	Streptococcus pneumoniae	98.3565	96	0.858007
-	CP020549.1	CONTIG|CIRCULAR	659106	663429	2148350	LN831051.1	1961069	1965392	GCA_001457635.1	Streptococcus pneumoniae	99.6068	96	0.201271
-	CP020549.1	CONTIG|CIRCULAR	663430	664902	2148350	JBRUDM010000003.1	4479	5954	GCA_053203845.1	Streptococcus pneumoniae	90.3161	96	0.0685642
S	CP020549.1	CONTIG|CIRCULAR	664903	665112	2148350	QEMY02000001.1	937471	937680	GCA_003143695.2	Streptococcus halitosis	78.5714	96	0.00977494
S	CP020549.1	CONTIG|CIRCULAR	665557	667594	2148350	JBRUCI010000001.1	290172	292203	GCA_053203255.1	Streptococcus toyakuensis	82.0312	96	0.0948635
-	CP020549.1	CONTIG|CIRCULAR	667595	696948	2148350	JBRUDM010000003.1	8641	38008	GCA_053203845.1	Streptococcus pneumoniae	97.9553	96	1.36635
-	CP020549.1	CONTIG|CIRCULAR	697000	698661	2148350	JBRUDM010000003.1	38009	39670	GCA_053203845.1	Streptococcus pneumoniae	99.3381	96	0.0773617
S	CP020549.1	CONTIG|CIRCULAR	698662	698903	2148350	JPFZ01000009.1	882773	883015	GCA_000722775.1	Streptococcus mitis	97.9424	94	0.0112645
-	CP020549.1	CONTIG|CIRCULAR	698904	718232	2148350	JBRUDM010000003.1	39671	59054	GCA_053203845.1	Streptococcus pneumoniae	98.5557	96	0.899714
-	CP020549.1	CONTIG|CIRCULAR	718469	720552	2148350	JBRUDM010000025.1	15539	17622	GCA_053203845.1	Streptococcus pneumoniae	99.7121	96	0.0970047
-	CP020549.1	CONTIG|CIRCULAR	721199	730139	2148350	JBRUDM010000025.1	17781	26721	GCA_053203845.1	Streptococcus pneumoniae	99.5974	96	0.41618
-	CP020549.1	CONTIG|CIRCULAR	730447	732919	2148350	JBRUDM010000003.1	60150	62631	GCA_053203845.1	Streptococcus pneumoniae	95.3263	96	0.115112
S	CP020549.1	CONTIG|CIRCULAR	733048	733353	2148350	CAOKTW010000015.1	7729	8035	GCA_948472335.1	Streptococcus bouchesdurhonensis	97.7199	96	0.0142435
